name,description,cuisine,course,ingredients_name,ingredients_quantity,prep_time (in mins),cook_time (in mins),instructions,image_url,flavour
Spicy Grilled Pineapple Salsa Recipe,"Spicy Grilled Pineapple Salsa is a simple recipe of a tropical salsa and is bursting with sweet and spicy flavors. It's the perfect summer dish, best served cold.",Mexican,Side Dish,"Extra Virgin Olive Oil, Pineapple, White onion, Red Yellow and Green Bell Peppers (Capsicum), Pickled Jalapenos, Coriander (Dhania) Leaves, Mint Leaves (Pudina), Salt, Lemon juice, Paprika powder","1 tablespoon Extra Virgin Olive Oil  1 Pineapple , peeled and cut into slices  1/4 cup White onion , finely chopped  1/4 cup Red Yellow and Green Bell Peppers (Capsicum) , mixed, chopped  2 tablespoons Pickled Jalapenos , finely chopped  2 sprig Coriander (Dhania) Leaves , finely chopped  2 sprig Mint Leaves (Pudina) , roughly torn Salt  1/2 teaspoon Lemon juice  1/4 teaspoon Paprika powder",10.0,0.0,"To begin making the Spicy Grilled Pineapple Salsa Recipe, start by prepping all the ingredients and fine chopping the elements. Heat oil in a grill pan over medium heat; place the sliced pineapple and sprinkle with salt. Cover the pan and cook the pineapple until it's soft and has lightly grilled texture. Keep turning it around until golden brown on both sides.Once done, allow it to cool and finely chop the pineapple.In a large mixing bowl, combine the grilled pineapple, onions, jalapenos, bell peppers, coriander leaves and mint leaves. Give it a good mix. Finally toss in the salt, lemon juice and smoked paprika to make the Grilled Pineapple Salsa.Refrigerate the Grilled Pineapple Salsa for at least 2 hours and serve chilledServe Spicy Grilled Pineapple Salsa along Baked Corn & Flour Tortilla Chips Flavored With Paprika  as an appetizer along with a meal of Mexican Vegetarian Bean & Cheese Enchiladas Recipe and Fig Tiramisu With Gingerbread Dust Recipe for dessert. ",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Richa_Gupta/Spicy_Grilled_Pineapple_Salsa_Recipe_1_1600.jpg,savory
Chettinad Cauliflower Pepper Fry Recipe - Chettinad Poo Kosu Poriyal,"Chettinad Poo Kosu Poriyal also known as Chettinad Milagu Pirattal Poriyal is a classic dish from Chettinad (Tamil Nadu). Chettinad Cuisine is very popular for its recipes to use, small onions, black pepper and lots of spices. The addition of black pepper in this cauliflower recipe along with sauteed onions, brings out great taste. ",Tamil Nadu,Lunch,"Cauliflower (gobi), Pearl onions (Sambar Onions), Garlic, Turmeric powder (Haldi), Black pepper powder, Red Chilli powder, Cinnamon Powder (Dalchini), Cloves (Laung), Coriander Powder (Dhania), Salt, Mustard seeds (Rai/ Kadugu), Cumin seeds (Jeera), Curry leaves, Oil","1 Cauliflower (gobi) , cut into florets  12 Pearl onions (Sambar Onions) , finely chopped  4 cloves Garlic , finely chopped  1/2 teaspoon Turmeric powder (Haldi)  1 teaspoon Black pepper powder  1/2 teaspoon Red Chilli powder  1/4 teaspoon Cinnamon Powder (Dalchini)  2 Cloves (Laung)  1/2 teaspoon Coriander Powder (Dhania)  1 teaspoon Salt , or to taste  1/2 teaspoon Mustard seeds (Rai/ Kadugu)  1/2 teaspoon Cumin seeds (Jeera)  2 sprig Curry leaves  1 tablespoon Oil , for cooking",15.0,20.0,"To begin making the Chettinad Cauliflower Pepper Fry Recipe (Milagu Pirattal Poriyal), first get all the ingredient ready and keep it by the side. It always helps to have things ready so the cooking process can be faster and quicker.We will steam the cauliflower in the steamer until it is firm and yet cooked. Steaming, retains the nutrition of the vegetable and helps the cooking process of the Chettinad Cauliflower Pepper Fry Recipe faster. This should not take more than 3 to 4 minutes on high heat.Heat a tablespoon of oil in heavy bottomed pan or a kadai on medium heat. Add the mustard seeds and allow it to crackle. Add the chopped onion and garlic and saute on low to medium heat until the onions have turned lightly golden brown.Take care not to burn the onion and garlic. Next add the curry leaves, cloves, turmeric powder, red chilli powder, black pepper, cinnamon and coriander powder. Give it a stir and add the steamed cauliflower florets.Sprinkle some salt and stir all the ingredients carefully until the spices coat the cauliflower well. Turn the heat to low, cover the pan and simmer for about 3 to 4 minutes until the Chettinad Cauliflower is well coated with the masala. Check the salt and spices and adjust to suit your taste.Serve the Chettinad Cauliflower Pepper Fry along with Vendakkai Sambar and Steamed Rice for weekend lunch or weeknight dinner. ",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Dry/Chettinad_Cauliflower_Curry_Milagu_Pirattal_Poriyal_Recipe-9.jpg,savory
"Beetroot, Amla And Pudina Juice Recipe | Mint Gooseberry Beet Juice","Beetroot, Amla And Pudina Juice is a healthy juice recipe which acts as a great immunity booster and aids in digestion as well. This juice is also a home remedy for anemia since it boosts hemoglobin content in the blood.",Indian,Snack,"Beetroot, Amla (Nellikai/ Gooseberry), Mint Leaves (Pudina), Cucumber, Black pepper powder, Cumin powder (Jeera), Black Salt (Kala Namak)","1 Beetroot , roughly chopped  1 Amla (Nellikai/ Gooseberry) , deseeded  1/4 cup Mint Leaves (Pudina) , roughly chopped  1/2 Cucumber , roughly chopped  1/2 teaspoon Black pepper powder  1/2 teaspoon Cumin powder (Jeera) , roasted  1/4 teaspoon Black Salt (Kala Namak) , or to taste",10.0,0.0,"To begin making the  Beetroot, Amla And Pudina Juice Recipe, wash and cut all the ingredients and keep them ready. In a mixer jar, combine the beetroot, amla, mint leaves, cucumber, black salt, black pepper powder and roasted jeera powder. To this add 1/2 cup of water and a few ice cubes, grind until the veggies are fully pureed. Once well blended you add additionally add another 1/2 cup of water and ice cubes and blend again to make the juice a little thinner. Once blended give it a taste and add honey if required to sweeten the Beetroot, Amla And Pudina Juice.Serve Beetroot, Amla And Pudina Juice recipe as a refreshing immunity boosting drink any time of the day. This juice can also be served on empty stomach in the early morning.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sunshineswati08-gmail.com/Beetroot_Amla_Pudina_Juice_Recipe_1_1600.jpg,savory
Karnataka Style Huggi (Rice and Moong dal Savory Porridge),Karnataka Style Huggi (Rice and Moong dal Savory Porridge)  Recipe is a traditional khichdi prepared in Karnataka. During the famous festival Sri Krishna Matt that is celebrated in parts of Udupi.  It is nothing but similar to “kara Pongal” that is prepared in Tamil Nadu. Huggi is usually accompanied along with tamarind gojju. Where the tanginess of the gravy goes along with the subtle but rich flavor of the lentil and rice.,Karnataka,Lunch,"Rice, Yellow Moong Dal (Split), Turmeric powder (Haldi), Cardamom (Elaichi) Pods/Seeds, Cinnamon Stick (Dalchini), Ghee, Cardamom (Elaichi) Pods/Seeds, Cinnamon Stick (Dalchini)",1 cup Rice  1 Yellow Moong Dal (Split)  1 teaspoon Turmeric powder (Haldi)  1 Cardamom (Elaichi) Pods/Seeds  1 inch Cinnamon Stick (Dalchini) For seasoning 1 tablespoon Ghee  1 Cardamom (Elaichi) Pods/Seeds  1 inch Cinnamon Stick (Dalchini),0.0,30.0,"We begin making the Karnataka Style Huggi Recipe by pressure cooking the rice and moong dal with 3 cups of water and salt for about 3 whistle.Then open the cooker once the pressure is released, add in turmeric powder, spices like cardamom, clove and cinnamon. Keep cooking till the rice and moong dal are fully cooked.Check for seasoning and switch off the flame. Heat a small kadai, melt the ghee and add the spice to crackle and pour it over the rice and serve.Serve the Karnataka Style Huggi Recipe along with Karnataka Style Tamarind Gojju Recipe along with Dry Palak Dal Sabzi Recipe to make it a complete meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Karnataka_Style_Huggi_Rice_and_Moong_dal_Savory_Porridge.jpg,"sour, savory"
Homemade Mole Sauce Recipe,Homemade Mole Sauce Recipe is a very famous sauce in Mexico. There are countless versions for this recipe and many of them make it with different set of ingredients. The authentic mole sauce calls for about 40 ingredients that takes a long process to make. The sauce has got a dark color mainly because of the addition of dark chocolate while preparation. The mole sauce is most often used on a chicken and served along with some tossed rice. There are many variations also and can be added to enchiladas and tacos.,Mexican,Side Dish,"Chipotle peppers, Onion, Garlic, Tomatoes, Raw Peanuts (Moongphali), Star anise, Cinnamon Stick (Dalchini), Cloves (Laung), Dark chocolate, Dried oregano, Black pepper powder, Sultana Raisins, Makki Ka Atta (Yellow Corn Meal Flour), Butter (Salted), Chicken stock, Salt","2 Chipotle peppers  1 Onion , sliced  2 cloves Garlic  2 Tomatoes  1 tablespoon Raw Peanuts (Moongphali)  1 Star anise  1 inch Cinnamon Stick (Dalchini)  2 Cloves (Laung)  2 inch Dark chocolate  1 teaspoon Dried oregano  1 teaspoon Black pepper powder  1 tablespoon Sultana Raisins  1 tablespoon Makki Ka Atta (Yellow Corn Meal Flour)  1 tablespoon Butter (Salted)  1 cup Chicken stock Salt , to taste",10.0,60.0,"To begin making the Homemade Mole Sauce Recipe we will first, roast the tomatoes by heating a sauce pan with oil, add the whole tomatoes.In the meanwhile preheat the oven to 180 degree Celsius for 10 minutes.Once the tomatoes roasted slightly and got light brown on skin, switch off the heat. Take a foil add the tomatoes and drizzle some olive oil and cover the foil and place it in the oven and roast them for about 15 minutes.In the same pan add some more oil, sliced onions and cloves of garlic and saute until it softens.Once the onions are sauted switch off the flame, allow it to cool down. Add them into a mixer along with star anise, cloves, cinnamon and raisins. Add little water to blitz it into a smooth paste. Keep it aside.Take the tomatoes out and chop them up and blitz them also along with toasted peanuts and chipotle chilies to a smooth paste.Let’s start to make the sauce. Heat the pan with butter once the butter starts to melt, add maize flour and keep whisking it to make a roux.Add chicken broth and mix well so that there are no lumps formed. Keep whisking till the sauce thickens.Add in the onion paste and tomato paste and bring it to a boil. Add in your seasonings and broken chocolate now and whisk well. Adjust the salt level and boil for 10 more minutes switch off the flame.Use the Homemade Mole Sauce to make Chicken mole sauce with brown sweet corn rice recipe to make a nice lunch meal for yourself.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Home_Made_Mole_Sauce_Recipe.jpg,savory
Kodava Pacche Baale Barthad- Raw Banana Stir Fry,"Kodava Pacche Baale Barthad- Raw Banana Stir Fry a simple stir fry of raw banana that is toasted well on the pan and mixed along with ground masala. The flavour from ginger, garlic, green chillies, pepper corns and curry leaves goes really well with the raw banana. Tamarind adds in a slight bit of sourness and helps balance the whole flavour of the dish. In kodava cuisine, anything that is stir fried with ground masala is called as “Barthad”.",Coorg,Lunch,"Raw Banana, Coconut Oil, Salt, Garlic, Ginger, Green Chillies, Curry leaves, Black pepper corns, Tamarind","2 Raw Banana , boiled and skin peeled, cut into cubes  1 tablespoon Coconut Oil , for cooking Salt , to taste To Grind 4 cloves Garlic , chopped  1 inch Ginger , chopped  2 Green Chillies  2 sprig Curry leaves  1 teaspoon Black pepper corns  10 grams Tamarind",10.0,15.0,"To begin making the Kodava Pacche Baale Barthad- Raw Banana Stir Fry, peel the skin of the raw banana and chop the raw banana into small cubes.Grind the garlic, ginger, green chillies and pepper into a coarse paste.Heat a kadai over medium heat with coconut oil, add curry leaves and allow it to crackle for few seconds, once done take the curry leaves out and keep aside.Add in the cooked raw banana and saute till it crisps up slightly. You can sprinkle some salt and turmeric powder and saute so that the raw banana gets cooked faster.  Once that is done add ground paste, sprinkle some more salt to taste, crush the curry leaves and saute well. Cook the Pacche Baale Barthad until the ground masala is cooked and tossed well with raw banana and switch off the heat.Check the salt and spices and adjust to suit your taste. Once done, transfer the Pacche Baale Barthad to a serving bowl.Serve the Kodava Pacche Baale Barthad- Raw Banana Stir Fry along with Kerala Kadala Curry Recipe, Jowar Atta Roti and Raw Mango Raita for your everyday dinner meal.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/June-22/Raw_Banana_Fry_-_Coorg_Style_Recipe-1_1600.jpg,"spicy, savory"
Drumstick Leaves Ragi Roti Recipe - Moringa Millet Flat Bread,"The Drumstick Leaves Ragi Roti Recipe is a healthy roti recipe that is made from ragi flour, packed with the goodness of  drumstick leaves and flavored with green chillies and ginger.",Karnataka,South Indian Breakfast,"Ragi Flour (Finger Millet/ Nagli), Whole Wheat Flour, Green Chillies, Ginger, Drumstick Leaves (Moringa/Murungai Keerai), Black pepper powder, Salt, Ghee","2 cups Ragi Flour (Finger Millet/ Nagli)  1 cup Whole Wheat Flour  2 Green Chillies , finely chopped  1 inch Ginger , grated  100 grams Drumstick Leaves (Moringa/Murungai Keerai) , finely chopped  1/2 teaspoon Black pepper powder Salt , to taste Ghee , for smearing rotis",20.0,30.0,"To begin making the Drumstick Leaves Ragi Roti Recipe, combine all the ingredients like the ragi flour, whole wheat flour, green chillies, ginger, drumstick leaves, black pepper powder and salt in a large mixing bowl.Add little water at a time and knead the Drumstick Leaves Ragi Roti dough for about 3 to 4 minutes until soft and smooth. Cover the Ragi Roti dough and allow it to rest for about 10 minutes.The next step is to cook the Drumstick Leaves Ragi Roti, make sure you have set the table out to serve your family and friends; as this Ragi Roti has to be served hot from the stove to plate.Preheat and grease a skillet with oil.Place a portion of the Drumstick Leaves Ragi Roti on the surface, dust it with flour and roll to make a roti. Once you have rolled it out, place it on the preheated tawa.Add ghee or oil along the sides of the Drumstick Leaves Ragi Roti and cook on both sides on a medium heat until the roti is cooked and lightly crisp.Once done, remove from heat and serve the hot Drumstick Leaves Ragi Roti. Proceed the same way with the remaining dough portions.Serve the Drumstick Leaves Ragi Roti Recipe, along with Mango Chutney and Homemade Yogurt for a wholesome Breakfast or serve with Dal Kabila or  Bharwa Karela Makhani for a diabetic friendly meal.",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breakfast_Tiffins/Ragi_Roti_Paratha_Recipe_Mangalore_Karnataka_Cuisine_Breakfast-13.jpg,spicy
Creamy Chicken Pesto Spaghetti Pasta Recipe,The Creamy Chicken Pesto Spaghetti Pasta Recipe is a lip smacking pasta recipe that is made from a fresh homemade basil pesto. The Pasta Recipe is a favourite among kids as well as adults. It is very easy to make and takes only 20 minutes to get prepared. It has no added cream or cheese which makes it perfect for weight watchers.,Italian Recipes,Dinner,"Extra Virgin Olive Oil, Chicken breasts, Durum Wheat Spaghetti Pasta, Sun Dried Tomatoes, Basil leaves, Walnuts, Parmesan cheese, Garlic, Extra Virgin Olive Oil, Salt, Whole Black Pepper Corns, Lemon juice","2 tablespoons Extra Virgin Olive Oil  4 Chicken breasts , boneless skinless  300 grams Durum Wheat Spaghetti Pasta  1/2 cup Sun Dried Tomatoes To Make Pesto 50 grams Basil leaves  1/4 cup Walnuts  1/4 cup Parmesan cheese  4 cloves Garlic  2 tablespoons Extra Virgin Olive Oil Salt , to taste  1 teaspoon Whole Black Pepper Corns  1 teaspoon Lemon juice",10.0,20.0,"To begin making the Creamy Chicken Pesto Pasta Recipe, heat a sauce pan with enough water. Sprinkle salt in order to increase the cooking process.Add the spaghetti pasta into the boiling water, and wait till it softens.Cook until it becomes al dente (just cooked) and strain it under running water to stop the cooking process. Drizzle olive oil into the pasta, toss it well and keep it aside. The next is to make the basil pesto. Into a mixer grinder, add the basil leaves, garlic, olive oil, walnuts, parmesan, pepper and salt. Blend to make a smooth pesto mixture. Add a little water if required. Squeeze in some lemon juice into the pesto.Take out the sun dried tomatoes from the jar. And cut them into small bite size pieces. Set them aside.Cube the chicken breast. Also mince some garlic and set aside.In a wide pan, add some olive oil and add minced garlic to the pan and give it a toss. Add chicken and cook till it has turned white from pink and is roasted well. Season with salt and black pepper according to your taste.Into the saucepan, add the basil pesto, boiled pasta and the chopped sundried tomatoes.Toss the Creamy Chicken Pesto Pasta together and stir fry on medium heat until all of them come together. Check the salt to taste and adjust accordingly.Turn off the heat and transfer the Creamy Chicken Pesto Pasta to a serving bowl.Serve Creamy Chicken Pesto Pasta Recipe with Garlic Bread and a Rich Dark Chocolate Mousse Recipe for a healthy weekend dinner.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Creamy_Chicken_Pesto_Pasta_Recipe-4-1.jpg,savory
Roasted Peppers & Cheese Crostini Recipe, Roasted Peppers & Cheese Crostini Recipe is a crowd pleaser for all age groups. Crispy slice of buttered bread topped with stringy soft cheese and earthy roasted bell peppers finished of with some seasoning. ,Italian Recipes,Appetizer,"French Loaf, Butter (Salted), Homemade Pizza And Pasta Sauce, Extra Virgin Olive Oil, Red Yellow and Green Bell Peppers (Capsicum), Sweet corn, Pickled Jalapenos, Basil leaves, Salt, Mozzarella cheese, Mixed Herbs (Dried), Red Chilli flakes, Garlic bread spice mix","1 French Loaf , cut into medium slices Butter (Salted) , softened  2 tablespoons Homemade Pizza And Pasta Sauce  1 teaspoon Extra Virgin Olive Oil  1 cup Red Yellow and Green Bell Peppers (Capsicum) , cut into thin slices  1/4 cup Sweet corn , kernels  2 tablespoons Pickled Jalapenos Basil leaves , a few leaves roughly torn Salt  1 cup Mozzarella cheese  2 teaspoon Mixed Herbs (Dried)  2 teaspoon Red Chilli flakes  2 teaspoon Garlic bread spice mix",10.0,25.0,"To begin making the Roasted Peppers & Cheese Crostini Recipe, prep all ingredients and keep it ready. If you have fresh sweet corn, cook it in the pressure cooker along with salt and water for 3 to 4 whistles. If you are using frozen corn, you simply have to thaw and use it as required. Heat olive oil in a pan on medium heat, add the sliced bell peppers, sprinkle some salt and roast for a few minutes until they are cooked yet have a bite in them. Turn off the heat and toss in the freshly chopped garlic, sweet corn, jalapenos, and basil leaves and give it a good stir. The fresh garlic added post cooking gives a fresh taste to the crostini.Preheat the oven at 200 degree celsius Slice the French loaf into slices of 1/2 inch thickness. Spread butter and pizza sauce, top it with the roasted peppers, corn kernels and jalapenos. Sprinkle a generous layer of cheese, finally finish off with a sprinkle of mixed herbs and chilli flakes Flash bake in the oven for 3-4 minutes, until the cheese melts and the bread has come slightly crispy. Serve hot Roasted Peppers & Cheese Crostini Recipe along with Beet Apple Salad Recipe with Apple Cider Vinaigrette and Red Wine Sangria Cocktail Recipe as the first course of the meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/Roasted_Peppers_and_Cheese_Crostini_Recipe_2_1600.jpg,savory
Eggless Buttermilk Cinnamon Rolls Recipe,"Buttermilk Cinnamon rolls is an indulgent breakfast or tea-time treat. There is nothing as satisfying as baking your own bread! These fluffy, soft homemade rolls are quite simple to make and taste better than any bakery baked rolls!",Continental,World Breakfast,"All Purpose Flour (Maida), Buttermilk, Active dry yeast, Salt, Butter (Unsalted), Lukewarm Water, Caster Sugar, Butter (Unsalted), Cinnamon Powder (Dalchini), Caster Sugar, Milk, Icing Sugar, Vanilla Extract","For The Cinnamon Roll Dough 335 grams All Purpose Flour (Maida)  120 ml Buttermilk , or whole milk  2-1/2 teaspoons Active dry yeast  1 teaspoon Salt  3 tablespoons Butter (Unsalted) , softened  60 ml Lukewarm Water , as needed  50 grams Caster Sugar Ingredients For The Filling 3 tablespoons Butter (Unsalted) , softened  2 tablespoons Cinnamon Powder (Dalchini)  50 grams Caster Sugar Ingredients For The Glaze 3 tablespoon Milk  120 grams Icing Sugar  1 teaspoon Vanilla Extract",60.0,180.0,"To begin making the Buttermilk Cinnamon Rolls, prep all the ingredients and keep ready.For the Cinnamon Roll dough, in a large mixing bowl, combine the flour, sugar, salt, and yeast together. Make a well in the center of the flour mixture. Add the buttermilk, melted butter and luke warm water to the flour and knead until it becomes a soft dough. Dust a little flour if the dough feels a little sticky. Knead well for 3 to 4 minutes.Cover the Cinnamon Roll dough and allow it to rest for 10 minutes.To make the cinnamon rolls, mix together the cinnamon and sugar which is part of the filling ingredients and keep asideAfter 10 minutes, roll the Cinnamon Roll dough out in a 14×8 inch (large) rectangle about 1/4 inch thicknessSpread the softened butter on top of the rolled dough. Sprinkle the cinnamon sugar  all over the dough. Roll up the Cinnamon Roll dough tightly and cut into 10 to 12 even rolls and arrange in a lightly greased 9-inch round cake pan or pie dish.Cover the dish and allow the cinnamon rolls to rise for about 2 hours. Once the buttermilk cinnamon rolls have risen, preheat the oven to 190 C. Bake for 25 to 30 minutes until lightly browned.If you notice the tops are getting too brown too quickly, loosely cover the Buttermilk cinnamon rolls with aluminum foil and continue baking.To make the icing, whisk the Icing sugar, vanilla extract, and milk together. Drizzle or spread over warm rolls.For Storing, cover leftover frosted or unfrosted buttermilk cinnamon rolls tightly wrapped and store for up to 1 week in the refrigerator.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2021/Eggless_Buttermilk_Cinnamon_Rolls_1_1600.jpg,"sweet, savory"
Cinnamon Welsh Cake Recipe ,"Cinnamon Welsh Cakes Recipe is a lovely Welsh tea time snack that goes perfectly well with that hot cuppa tea or even coffee if you like. A simple dough is made with flour and sugar, enriched with butter and eggs that hold the cake dough together. ",Continental,Snack,"All Purpose Flour (Maida), Caster Sugar, Cinnamon Powder (Dalchini), Baking powder, Butter (Unsalted), Sultana Raisins, Whole Egg","225 grams All Purpose Flour (Maida)  85 grams Caster Sugar  1/2 teaspoon Cinnamon Powder (Dalchini)  1/2 teaspoon Baking powder  100 grams Butter (Unsalted)  20 Sultana Raisins , finely chopped  1 Whole Egg",130.0,15.0,"To begin making the Cinnamon Welsh Cake Recipe, we will first make the dough.To make the dough, in a mixing bowl, combine the flour, sugar, cinnamon powder and baking powder. Mix well with a fork to combine evenly. Now add the cold butter cubes into this mixture and mix with the  fingers of both your hands to resemble a sand like texture. Now add in the egg and raisins and knead to bring the dough together. Wrap the Welsh cake dough in a cling wrap and allow it to chill in the refrigerator for about 2 hours. After two hours, remove from the refrigerator, and allow it to sit at room temperature for 2 minutes. Dust the working counter with flour and begin to roll out the dough into approximately 1.5 cm thickness. Use a cookie cutter of the desired size and cut the Welsh cakes. Place the cut Cinnamon Welsh Cake in a tray and allow it to chill for about 15 minutes in the freezer. Preheat a skillet with some butter on medium-low heat. Once its hot, gently place the Cinnamon Welsh Cake on the skillet, and flip after about a minute. Flip both ways until the Cinnamon Welsh Cake have achieved a lovely brown colour and our cooked from within. Transfer the Cinnamon Welsh Cake to a plate and serve hot or warm. Serve Cinnamon Welsh Cake Recipe warm along with a side of honey and butter and some Cinnamon Spiced Black Lemon Tea Recipe or Hot Coffee Latte Recipe.",https://www.archanaskitchen.com/images/archanaskitchen/0-Affiliate-Articles/Lemon_Welsh_Cake_Recipe_15-2N_1600.jpg,sweet
Kerala Style Vendakka Pachadi Recipe - Roasted Bhindi Coconut Raita,"Kerala Style Vendakka Pachadi Recipe is an essential side dish at any Kerala Sadya, a popular feast. ",Kerala Recipes,Lunch,"Bhindi (Lady Finger/Okra), Salt, Oil, Green Chillies, Cumin seeds (Jeera), Fresh coconut, Curd (Dahi / Yogurt), Salt, Coconut Oil, White Urad Dal (Split), Mustard seeds (Rai/ Kadugu), Curry leaves","For the Vendakkai 150 grams Bhindi (Lady Finger/Okra) , cut into rounds  Salt , to taste Oil For the coconut paste 2 Green Chillies  1 teaspoon Cumin seeds (Jeera)  1/4 cup Fresh coconut For the Pachadi  2 cups Curd (Dahi / Yogurt) , whisked Salt , to taste  1 teaspoon Coconut Oil  1 teaspoon White Urad Dal (Split)  1/4 teaspoon Mustard seeds (Rai/ Kadugu)  1 sprig Curry leaves",10.0,20.0,"To begin making the Kerala Style Vendakka Pachadi Recipe, wash the vendakkai well and pat dry them on a kitchen towel. Once dry, slice them thin rounds, lightly salt them and keep it ready. Heat oil in a pan on medium heat, and shallow fry the vendakkai till well cooked and crispy. Make sure not to burn them, since they are thinly sliced into rounds they will tend to brown quickly.Once crispy, using a slotted spoon remove the roasted Vendakka from the pan and place it on a plate lined with kitchen paper towel. To make the coconut paste , into a mixer jar add the coconut, cumin seeds and green chilli and blend along with 1/4 cup of warm water to make a smooth paste. Keep this asideIn a mixing bowl, combine the finely ground coconut paste, curd and salt and whisk well and set aside. To make the tadka for the Vendakka Pachadi, heat oil on medium heat in a tadka pan; add the mustard seeds and split urad dal and let allow the seeds to crackle and the dal to turn slightly golden brown and crisp. Stir in the curry leaves and turn off the heat.Stir in the tadka to the coconut curd pachadi mixture and finally stir in the vendakka to make the delicious Vendakka Pachadi. Refrigerate the Vendakka Pachadi and serve chilled along with a meal.Serve Kerala Style Vendakka Pachadi with hot Steamed rice, Thakkali Rasam and Beetroot thoran for a healthy lunch or dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Donna_George/Kerala_Style_Vendakkai_Pchadi_Recipe_1_1600.jpg,spicy
Smoked Vegetarian Spanish Rice Recipe,"The Smoked Vegetarian Spanish Rice Recipe is an easy to make rice recipe that is packed with flavors from the coal smoking method and the simple flavours of cumin and tomatoes. The Spanish Rice is made using fresh tomatoes, bell peppers, celery, corn, and green peas which adds to the deliciousness of this dish.",European,Main Course,"Basmati rice, Extra Virgin Olive Oil, Onion, Green Chillies, Garlic, Green Bell Pepper (Capsicum), Tomatoes, Celery, Sweet corn, Green peas (Matar), Red Chilli powder, Cheddar cheese, Coal, Salt","1-1/2 cups Basmati rice , (or any long grained rice)  2 tablespoons Extra Virgin Olive Oil  1 Onion , finely chopped  2 Green Chillies , finely chopped  4 cloves Garlic , finely chopped  1 Green Bell Pepper (Capsicum) , finely chopped  3 Tomatoes , finely chopped  2 Stalks Celery , finely chopped  1/4 cup Sweet corn , steamed  1/4 cup Green peas (Matar) , steamed  1/2 teaspoon Red Chilli powder  1/4 Cheddar cheese , shredded  1 Coal , for smoking Salt , to taste",15.0,30.0,"To begin making the Smoked Vegetarian Spanish Rice Recipe, prep all the ingredients and keep ready.Heat olive oil in a large pan over medium heat; sauté the onions, garlic, green bell pepper, green chillies and celery until they are tender. Saute on low to medium heat so the onions and bell peppers becomes really soft.Once they are softened, add the tomatoes, salt, and chilli powder and saute until the tomatoes have become soft and mushy. Add the rice, corn, peas, salt and pepper and 2 cups of water. Turn the heat to high and bring the rice to a boil. Once it comes to a boil, turn the heat to low, cover the pan and simmer the rice until all the water is completely absorbed.  This would take about 15 minutes.Once the rice is cooked, turn off the heat and allow the Spanish Rice to rest for about 10 minutes. While the rice is resting, we will proceed to prepare the coal for the coal smoking method. Heat the piece of coal on gas flame until it becomes red hot.Once the coal is hot, place the coal in a steel or a glass cup. Place the cup in the center of the rice dish and press it down, so it rests in the casserole.Pour a teaspoon of ghee or oil over the hot coal. You will notice the  coal begins to smoke. Cover the pan immediately, to trap the smoke inside the casserole.The rice will get the smokes flavors as it rests in the smoke. After a couple of minutes, remove the cup of coal (the smoke would have died down).Stir the Spinach Rice well to combine all the flavors and ingredients after the cooking process and serve.Sprinkle or stir in the cheese to the Smoked Vegetarian Spanish Rice and serve hot along with Pineapple and Cheese Skewers Recipe or Paprika Chicken Skewers Recipe and No Bake White Chocolate Cheesecake Recipe.",https://www.archanaskitchen.com/images/archanaskitchen/Mexican_Cuisine/Smoked_Spanish_Rice_Recipe_1_1600.jpg,"spicy, savory"
